op_index,task_name,task_args,trial,costs,all_cost,best_cost,best_all_cost,cmp
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",1,1.2617479366100875e-05,1.5890247821807861,4.259612471012626e-06,1.4450702667236328,0.9121886033457739
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",2,4.259612471012626e-06,1.4450702667236328,4.259612471012626e-06,1.4450702667236328,1.0
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",3,5.499210904882919e-06,1.4501962661743164,4.259612471012626e-06,1.4450702667236328,0.979345013901936
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",4,5.311176240067552e-06,1.5325653553009033,4.259612471012626e-06,1.4450702667236328,0.9821584014287874
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",5,6.759238427699731e-06,1.4596335887908936,4.259612471012626e-06,1.4450702667236328,0.9626621681892561
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",6,1.4355614565157498e-05,1.145228624343872,4.259612471012626e-06,1.4450702667236328,0.9017523626871801
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",7,2.5999288464786352e-05,1.1022655963897705,4.259612471012626e-06,1.4450702667236328,0.8537245377422678
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",8,5.348471325069832e-06,1.5249817371368408,4.259612471012626e-06,1.4450702667236328,0.9815925536595151
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",9,4.845447056672018e-06,1.4897160530090332,4.259612471012626e-06,1.4450702667236328,0.9895796650065047
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",10,1.0871599127484245e-05,1.0676043033599854,4.259612471012626e-06,1.4450702667236328,0.924231729413024
