modelname,tuner,0,100,300,500,1000,3000
resnet-18,xgb_knob,0.242782252,0.269235436,0.2712428299999999,0.255551726,0.2340680459999999,0.217137012
bert,xgb_knob,13.455396377,6.228771953000001,5.06539081,4.818489031,4.624967366,3.725119006
resnet-18,xgb_knob,0.272756974,0.280042965,0.252818901,0.262862717,0.247713614,0.2598420490000001
resnet-18,xgb,0.213608205,0.258079858,0.226441403,0.2604706719999999,0.258585885,0.2179705509999999
resnet-18,grid,0.225714268,1.635538418,0.689278826,0.512751307,0.456232985,0.454838275
resnet-18,random,0.235034246,0.327954396,0.300977818,0.253141602,0.256910974,0.2469317819999999
bert,xgb_knob,13.592353757999998,6.338716515000001,5.139497853,4.908285946,4.689191485,3.818271519
bert,xgb,13.743248071000002,6.983690011,3.237087701,3.233367829,3.272439645,2.105999021
bert,grid,13.757922841,12.954909076000002,12.648715192,12.597378878,12.158730505,12.24842303
bert,random,13.63127426,10.466938194000004,8.536541487000001,7.700239210000001,7.365400190999999,3.247305807
inception_v3,xgb_knob,1.374501846,1.100670169,1.052472012,1.023532591,1.0458052160000002,0.984079571
mobilenet,xgb_knob,0.212469508,0.207104276,0.196409686,0.191636963,0.185025665,0.164481428
roberta,xgb_knob,13.48600104,8.01320235,4.487625137,3.252556365,3.01133077,3.054042237
nasnetalarge,xgb_knob,40.627476902,4.826218014,4.294095149,4.429098420000001,4.4028257349999995,4.277416543999999
