trial,task_name,task_args,tiles,num_threads,costs,all_cost
0,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",176,1024,7.633942330287206e-05,1.7696309089660645
1,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",49,1024,6.942021137483206e-05,1.2977776527404785
2,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",96,1024,2.3625262292697122e-05,1.2398779392242432
3,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",80,1024,2.4695937947494033e-05,1.6600968837738037
4,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",40,1024,0.00018656221454545454,1.7540433406829834
5,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",76,1024,8.60138615036744e-05,1.2311289310455322
6,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",37,1024,0.00018608431100478469,1.2411715984344482
7,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",14,1024,0.0001909975914994097,1.207606554031372
8,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",14,1024,0.00020271078339818418,1.2537074089050293
9,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",68,1024,4.5577044888502746e-05,1.2806017398834229
10,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",72,1024,2.0209700893418898e-05,1.27018141746521
11,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",67,1024,0.000478327131736527,1.6381134986877441
12,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",136,1024,9.0065532802427e-05,2.213709592819214
13,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",81,1024,0.00017239905378704722,1.3795654773712158
14,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",133,1024,0.0008912545543478261,1.4155614376068115
15,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",49,1024,6.117618613413715e-05,1.7014992237091064
16,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",18,1024,9.923222207876049e-05,1.244551420211792
17,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",88,1024,7.746561613216715e-05,1.6437840461730957
18,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",162,1024,6.011312977289743e-05,1.811741590499878
19,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",168,1024,8.317929229934925e-05,1.3870265483856201
20,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",88,1024,7.173029990993695e-05,1.6791257858276367
21,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",138,1024,0.0003198760427236315,1.7288522720336914
22,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",160,1024,2.7840891694660023e-05,1.8495543003082275
23,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",192,1024,3.308457194145264e-05,1.7332210540771484
24,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",196,1024,0.000166681575,1.6947357654571533
25,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",160,1024,0.0001637942216142271,1.5562458038330078
26,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",32,1024,4.708718564618644e-05,1.5198242664337158
27,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",76,1024,0.0001915458017565872,1.3308777809143066
28,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",140,1024,3.7165308173188236e-05,1.2702171802520752
29,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",104,1024,2.9877493023255815e-05,1.199861764907837
30,batch_matmul.cuda,"(('TENSOR', (12, 128, 128), 'float32'), ('TENSOR', (12, 64, 128), 'float32'), (12, 128, 64), None, 0, 1)",16,1024,0.00015687802027649768,1.3832082748413086
